distance,p,q
1.159551974236,39971,9960029
1.159579606078,39857,9960143
1.159588110992,39821,9960179
1.159600632231,34883,9965117
1.159602048903,39761,9960239
1.159611628579,39719,9960281
1.159617692365,34949,9965051
1.159625060106,39659,9960341
1.159647355760,35069,9964931
1.159654812714,39521,9960479
1.159658734718,35117,9964883
1.159664320520,35141,9964859
1.159667087562,35153,9964847
1.159668464626,35159,9964841
1.159695853594,39317,9960683
1.159710608196,39239,9960761
1.159712831749,39227,9960773
1.159745524899,35531,9964469
1.159746635061,35537,9964463
1.159757507682,35597,9964403
1.159783839736,35753,9964247
1.159811088740,38603,9961397
1.159813277843,35951,9964049
1.159818955613,35993,9964007
1.159836319078,38393,9961607
1.159839705279,36161,9963839
1.159840880543,38351,9961649
1.159843414040,38327,9961673
1.159849540741,36251,9963749
1.159850106241,38261,9961739
1.159857493053,38183,9961817
1.159869632741,38039,9961961
1.159870511562,36479,9963521
1.159872804972,37997,9962003
1.159874968373,37967,9962033
1.159875970822,36551,9963449
1.159883842982,36671,9963329
1.159884833080,37811,9962189
1.159885495169,37799,9962201
1.159886462264,37781,9962219
1.159888143655,36749,9963251
1.159894822127,37589,9962411
1.159895443194,36923,9963077
1.159897188886,37511,9962489
1.159897987020,37013,9962987
1.159898771282,37049,9962951
1.159899377475,37409,9962591
1.159900049776,37361,9962639
1.159900514361,37181,9962819
1.159900614849,37199,9962801
