p,q,distance,px,py,pz,qx,qy,qz
95723,9904277,1.6421524021,1.275855,-1.234889,-1.212085,2.256276,-0.003044,0.105060
95603,9904397,1.6425183383,1.275469,-1.235125,-1.212205,2.256374,-0.003040,0.105067
95597,9904403,1.6425366435,1.275449,-1.235137,-1.212211,2.256379,-0.003040,0.105067
95219,9904781,1.6436914888,1.274228,-1.235884,-1.212590,2.256690,-0.003029,0.105088
95177,9904823,1.6438200019,1.274091,-1.235967,-1.212631,2.256725,-0.003027,0.105091
95153,9904847,1.6438934556,1.274014,-1.236015,-1.212655,2.256744,-0.003026,0.105092
95111,9904889,1.6440220307,1.273877,-1.236098,-1.212697,2.256779,-0.003025,0.105094
94823,9905177,1.6449047542,1.272941,-1.236668,-1.212984,2.257016,-0.003016,0.105110
94583,9905417,1.6456417821,1.272158,-1.237144,-1.213223,2.257215,-0.003009,0.105124
94547,9905453,1.6457524483,1.272040,-1.237216,-1.213259,2.257244,-0.003008,0.105126
94541,9905459,1.6457708955,1.272021,-1.237227,-1.213265,2.257249,-0.003008,0.105126
94439,9905561,1.6460846226,1.271687,-1.237430,-1.213366,2.257334,-0.003004,0.105132
94343,9905657,1.6463801102,1.271373,-1.237621,-1.213461,2.257413,-0.003001,0.105137
94121,9905879,1.6470642254,1.270644,-1.238062,-1.213681,2.257598,-0.002995,0.105149
94109,9905891,1.6471012365,1.270604,-1.238086,-1.213692,2.257607,-0.002994,0.105150
94079,9905921,1.6471937785,1.270506,-1.238146,-1.213722,2.257632,-0.002993,0.105152
94007,9905993,1.6474159629,1.270269,-1.238289,-1.213793,2.257692,-0.002991,0.105156
93893,9906107,1.6477679962,1.269893,-1.238516,-1.213906,2.257787,-0.002988,0.105162
93557,9906443,1.6488072944,1.268782,-1.239186,-1.214236,2.258067,-0.002977,0.105181
93491,9906509,1.6490117459,1.268564,-1.239318,-1.214301,2.258122,-0.002975,0.105185
93407,9906593,1.6492721015,1.268285,-1.239486,-1.214384,2.258192,-0.002973,0.105189
93329,9906671,1.6495140053,1.268026,-1.239642,-1.214460,2.258257,-0.002970,0.105194
93263,9906737,1.6497188025,1.267806,-1.239774,-1.214525,2.258312,-0.002968,0.105197
93239,9906761,1.6497932991,1.267727,-1.239822,-1.214548,2.258332,-0.002967,0.105199
93083,9906917,1.6502778503,1.267207,-1.240134,-1.214701,2.258463,-0.002963,0.105207
92987,9907013,1.6505763148,1.266887,-1.240326,-1.214795,2.258543,-0.002960,0.105213
