t,Re(s),deviation,certified_radius
933000014.000000,0.5000000000,3.73e+00,0.00e+00
278000014.000000,0.5000000000,3.74e+00,0.00e+00
803500014.000000,0.5000000000,3.75e+00,0.00e+00
504000014.000000,0.5000000000,3.77e+00,0.00e+00
414000014.000000,0.5000000000,3.77e+00,0.00e+00
858000014.000000,0.5000000000,3.78e+00,0.00e+00
904500014.000000,0.5000000000,3.85e+00,0.00e+00
572500014.000000,0.5000000000,3.86e+00,0.00e+00
883000014.000000,0.5000000000,3.87e+00,0.00e+00
852000014.000000,0.5000000000,3.87e+00,0.00e+00
735500014.000000,0.5000000000,3.88e+00,0.00e+00
782500014.000000,0.5000000000,3.89e+00,0.00e+00
37500014.000000,0.5000000000,3.89e+00,0.00e+00
265500014.000000,0.5000000000,3.92e+00,0.00e+00
589000014.000000,0.5000000000,3.94e+00,0.00e+00
539500014.000000,0.5000000000,3.96e+00,0.00e+00
900500014.000000,0.5000000000,3.97e+00,0.00e+00
974000014.000000,0.5000000000,3.99e+00,0.00e+00
39000014.000000,0.5000000000,4.01e+00,0.00e+00
817500014.000000,0.5000000000,4.03e+00,0.00e+00
846500014.000000,0.5000000000,4.10e+00,0.00e+00
612500014.000000,0.5000000000,4.13e+00,0.00e+00
847000014.000000,0.5000000000,4.13e+00,0.00e+00
858500014.000000,0.5000000000,4.14e+00,0.00e+00
843500014.000000,0.5000000000,4.14e+00,0.00e+00
683500014.000000,0.5000000000,4.17e+00,0.00e+00
713000014.000000,0.5000000000,4.20e+00,0.00e+00
648500014.000000,0.5000000000,4.20e+00,0.00e+00
794000014.000000,0.5000000000,4.23e+00,0.00e+00
704500014.000000,0.5000000000,4.24e+00,0.00e+00
910000014.000000,0.5000000000,4.25e+00,0.00e+00
628500014.000000,0.5000000000,4.29e+00,0.00e+00
692000014.000000,0.5000000000,4.29e+00,0.00e+00
827500014.000000,0.5000000000,4.30e+00,0.00e+00
702500014.000000,0.5000000000,4.32e+00,0.00e+00
273000014.000000,0.5000000000,4.33e+00,0.00e+00
914000014.000000,0.5000000000,4.35e+00,0.00e+00
287500014.000000,0.5000000000,4.38e+00,0.00e+00
902500014.000000,0.5000000000,4.39e+00,0.00e+00
848000014.000000,0.5000000000,4.39e+00,0.00e+00
475500014.000000,0.5000000000,4.40e+00,0.00e+00
