p,p2,distance,pos_p_x,pos_p_y,pos_p_z,pos_p2_x,pos_p2_y,pos_p2_z
32411,32413,0.0000152815,-0.5158783071273677,0.7916223252766823,-0.9885740665863333,-0.5158844221123681,0.7916084718098785,-0.988585710088548
32369,32371,0.0000153115,-0.5157642241607102,0.7919357115150201,-0.9883566676551765,-0.5157703558445224,0.7919218414103483,-0.9883683439751236
32321,32323,0.0000153458,-0.5156334168670207,0.7922943177462528,-0.9881073724395845,-0.5156395677041379,0.7922804285830731,-0.9881190864019972
32297,32299,0.0000153630,-0.5155678419821221,0.7924738014099693,-0.9879823880573566,-0.5155740024235786,0.7924599026999706,-0.9879941208958177
32189,32191,0.0000154409,-0.5152713352895605,0.7932829718118667,-0.9874171661003681,-0.5152775391804543,0.7932690299956163,-0.9874289843361803
32141,32143,0.0000154757,-0.5151388051332115,0.7936433901008849,-0.987164482393638,-0.5151450284564978,0.7936294290495067,-0.9871763388244327
32117,32119,0.0000154932,-0.5150723662576391,0.7938237813970676,-0.9870377987001767,-0.5150785993253489,0.7938098107103253,-0.9870496742843455
32057,32059,0.0000155370,-0.5149057603125705,0.7942752920653529,-0.9867200887769113,-0.5149120178240549,0.7942612972381192,-0.986732012408276
32027,32029,0.0000155590,-0.5148221839337848,0.7945013331632057,-0.9865606960326172,-0.5148284537116503,0.7944873262377472,-0.98657264377567
31847,31849,0.0000156920,-0.5143168692858507,0.7958615982548168,-0.9855967538242009,-0.5143232132909472,0.7958475183457225,-0.9856088474826534
31769,31771,0.0000157502,-0.5140958300986861,0.7964531960120519,-0.9851749744749994,-0.5141022066072372,0.7964390842653208,-0.9851871320333343
31727,31729,0.0000157817,-0.5139762863667034,0.7967722896692805,-0.9849468343627774,-0.513982680462769,0.7967581607258687,-0.9849590264983373
31721,31723,0.0000157862,-0.5139591787212998,0.796817905457219,-0.9849141839590684,-0.5139655753347853,0.7968037740540795,-0.9849263810439682
31541,31543,0.0000159225,-0.5134424431922708,0.7981899941127542,-0.9839277738573597,-0.513448915904586,0.7981757885604716,-0.9839401205635523
31511,31513,0.0000159454,-0.5133556568516763,0.798419358239317,-0.9837620662662062,-0.5133621423564225,0.7984051402612361,-0.9837744381257018
31391,31393,0.0000160376,-0.5130065974765237,0.7993387759782149,-0.9830954699388676,-0.5130131344670167,0.7993245081021976,-0.9831079430373978
31319,31321,0.0000160934,-0.512795682707359,0.7998919384183732,-0.9826926017040758,-0.5128022508339705,0.7998776404532167,-0.9827051360305649
31247,31249,0.0000161494,-0.5125836503238874,0.800446239699306,-0.98228753429439,-0.5125902497718997,0.8004319115314833,-0.9823001302157732
31181,31183,0.0000162011,-0.5123882996904178,0.8009553531558341,-0.9819142790608347,-0.5123949280137328,0.8009409972019856,-0.9819269317690377
31151,31153,0.0000162247,-0.5122991901758988,0.8011870867089104,-0.9817440001286477,-0.5123058316765337,0.8011727180932212,-0.9817566787523899
31121,31123,0.0000162483,-0.5122098838550584,0.8014190196472075,-0.9815733338988647,-0.5122165385657793,0.8014046383497199,-0.9815860385030405
31079,31081,0.0000162815,-0.5120845234164559,0.801744061299812,-0.9813337486266898,-0.512091196676546,0.801729662214198,-0.9813464897129021
30869,30871,0.0000164493,-0.511451871809029,0.803375169310904,-0.9801243103634222,-0.5114586387929989,0.8033606806923005,-0.9801372357949651
30851,30853,0.0000164638,-0.5113971874112121,0.8035154381765622,-0.9800197445579997,-0.5114039625051863,0.8035009418374544,-0.9800326859421498
30839,30841,0.0000164735,-0.5113606907737986,0.8036089912327882,-0.9799499545597903,-0.5113674712812127,0.8035944897425985,-0.9799629065924266
